,C2Rust,,,Our work,,,deepseek from C,,,deepseek from C2Rust,,
Name,ULOC,LOC,R,ULOC,LOC,R,ULOC,LOC,R,ULOC,LOC,R
binn,4417,4565,96.76%,,,,,,,,,
cflow,,,,,,,,,,,,
compton,,,,,,,,,,,,
cpio-2.14,,,,,,,,,,,,
enscript-1.6.1,,,,,,,,,,,,
findutils-4.9.0,,,,,,,,,,,,
gawk-5.2.2,,,,,,,,,,,,
glpk-5.0,,,,,,,,,,,,
grep-3.11,,,,,,,,,,,,
gsl-2.7.1,,,,,,,,,,,,
gzip-1.12,,,,,,,,,,,,
hiredis,,,,,,,,,,,,
libtree,,,,,,,,,,,,
libzahl,,,,,,,,,,,,
make-4.4.1,,,,,,,,,,,,
minilisp,,,,,,,,,,,,
mtools-4.0.45,,,,,,,,,,,,
nettle-3.10,,,,,,,,,,,,
pth-2.0.7,,,,,,,,,,,,
rcs-5.10.0,,,,,,,,,,,,
sed-4.9,,,,,,,,,,,,
tar-1.34,,,,,,,,,,,,
twemproxy,,,,,,,,,,,,
webdis,,,,,,,,,,,,
wget-1.21.4,,,,,,,,,,,,
